kurt vonnegut,Player Piano
ellen hopkins,Identical
cammie mcgovern,Just Breathe
lynn picknett,The Templar Revelation: Secret Guardians of the True Identity of Christ
laura j. burns,Sanctuary Bay
rachel hartman,Tess of the Road
rice anne,Lasher
gay roxane,Not That Bad: Dispatches from Rape Culture
mindy mcginnis,A Madness So Discreet
king stephen,The Dead Zone
sara tuvel bernstein,The Seamstress: A Memoir of Survival
nancy springer,The Case of the Peculiar Pink Fan
yarros rebecca,Fourth Wing
hannah kristin,Distant Shores
ruby bridges,Through My Eyes
clare cassandra,City of Bones
robin lafevers,Mortal Heart
amir. abrams,Crazy Love
j. courtney sullivan,Commencement
alice walker,The Temple of My Familiar
jodi picoult,Salem Falls
pamela j. ball,The Complete Book of Dreams and Dreaming
clayton dhonielle,The Belles
jake maia arlow,Almost Flying
newth mette,The Transformation
bryan lee o'malley,Scott Pilgrim Vol. 5: Scott Pilgrim vs. the Universe
julie anne peters,Between Mom and Jo
nick earls,After Summer
peirce lincoln,Big Nate: I Can’t Take It
summers courtney,Sadie
amy giles,That Night
ned vizzini,It's Kind of a Funny Story
emma mae jenkins,Be Loved
peggy roberts,Whispers at Midnight
knoll jessica,Luckiest Girl Alive
margaret peterson haddix,Revealed (MPH)
mark twain,The Adventures of Tom Sawyer (Sterling)
anna godberson,The Luxe
randa abdel-fattah,Does My Head Look Big in This?
meyer marissa,Cress
clare cassandra,City of Glass
mead richelle,Spirit Bound
meyer marissa,Cursed
james patterson,Suzanne's Diary for Nicholas
james lee burke,Swan Peak
forest laurie,The Iron Flower
marion zimmer bradley,The Mists of Avalon
jean m. auel,The Clan of the Cave Bear
alex haley,Roots: The Saga of An American Family
jack kerouac,On the Road
adele griffin,Loud Awake and Lost
collins suzanne,Catching Fire
karen m. mcmanus,One of Us Is Lying
dean zoey,Sunset Boulevard
peter shaffer,Equus
philip wilkinson,Early Humans
diana gabaldon,Drums of Autumn
becca fitzpatrick,Silence
neil gaiman,Norse Mythology
s. j. sindu,Marriage of a Thousand Lies
greene stephanie,Sophie Hartley and the Facts of Life
king stephen,Duma Key
walter dean myers,145th Street: Short Stories
rowell rainbow,Any Way the Wind Blows
ellen hopkins,Flirtin' With the Monster: Your Favorite Authors on Ellen Hopkins' Crank and Glass
james patterson,The 9th Judgment
erin gruwell,The Freedom Writers Diary
giles lamar,Not So Pure and Simple
janice lynn mather,Learning to Breathe
king stephen,Firestarter (SK)
bill konigsberg,Honestly Ben
p. c. cast,Hunted
quin tegan,Tegan and Sara: Junior High
c. s. pacat,Kings Rising
melvin burgess,The Hit
king stephen,11/22/63: A Novel
jeff lindsay,Dexter Is Delicious
mora fowley-doyle,All the Bad Apples
wein elizabeth,Code Name Verity
leslie marmon silko,Ceremony
cummins jeanine,American Dirt
ee susan,Angelfall
heather gudenkauf,Little Mercies
a. s. king,Ask the Passengers
jesse andrews,Munmun
alison goodman,The Dark Days Club
christina baker kline,Orphan Train
airth rennie,River of Darkness
ellen labrecque,Who Was Maya Angelou?
jaye robin brown,Georgia Peaches and Other Forbidden Fruit
tyler steven,Does the Noise in My Head Bother You? A Rock 'n' Roll Memoir
duncan alexandra,Salvage
sskind patrick,Perfume: The Story of a Murderer
allen rachael,17 First Kisses
cary kate,Bloodline: A Novel
karen m. mcmanus,Two Can Keep a Secret
geoff herbach,Hooper
kushner elisabeth,The Purim Superhero
rice anne,The Witching Hour
renee watson,Watch Us Rise
betsy cornwell,The Forest Queen
holly goldberg sloan,To Night Owl from Dogfish
chris crutcher,Chinese Handcuffs
peirce lincoln,Big Nate: In a Class by Himself
joyce carol oates,The Assignation
smythe rachel,Lore Olympus: Volume Five
rosie dickins,The Usborne Introduction to Art
robin benway,Also Known As
karen joy fowler,We Are All Completely Beside Ourselves
sarah j. maas,House of Earth and Blood
alison cochrun,The Charm Offensive
beatty robert,Serafina and the Black Cloak
meg cabot,Princess on the Brink
tamaki mariko,Laura Dean Keeps Breaking Up with Me
barbara kingsolver,Pigs In Heaven
c. c. hunter,Born at Midnight
sharon cameron,The Forgetting
cornwell patricia,Predator
alice oseman,Loveless
blake nelson,Recovery Road
jennifer l. armentrout,Meet Cute: Some People Are Destined to Meet
varian johnson,The Parker Inheritance
maggie tokuda-hall,Squad
kat rosenfield,Amelia Anne Is Dead and Gone
cecily von ziegesar,You Just Can't Get Enough
rivera lilliam,Never Look Back
o'connor flannery,The Complete Stories
sara shepard,Perfect
king stephen,Misery
miller chanel,Know My Name
becky albertalli,Leah on the Offbeat
melissa de la cruz,Lost in Time
tupelo hassman,Girlchild
schow betsy,Banished
octavia e. butler,Speech Sounds
hannah kristin,Fly Away
clare cassandra,Clockwork Angel
james haskins,The Scottsboro Boys
john irving,The Cider House Rules
jennifer a. nielsen,Resistance
giles lamar,Endangered (LG)
katie cicatelli-kuc,Going Viral: A Socially Distant Love Story
robin lafevers,Grave Mercy
alexandra villasante,The Grief Keeper
nora roberts,Midnight Bayou
c.s. pascat,Fence: Rivals
kurt vonnegut,Cat's Cradle
garber romina,Cazadora
trudy ludwig,The Invisible Boy
j. d. robb,Portrait in Death
anne enright,The Gathering
mathieu jennifer,The Truth About Alice: A Novel
laini taylor,Strange the Dreamer
rick riordan,The Serpents Shadow
lev grossman,The Magician’s Land
turow scott,Ordinary Heroes
weitz chris,The Young World
dawn sasha,Blink
david levithan,Another Day
king stephen,Wolves of the Calla
todd strasser,Boot Camp
hodkin michelle,The Becoming of Noah Shaw
king stephen,Night Shift
billy merrell,Talking in the Dark: A Poetry Memoir
emezi akwaeke,Pet
kelley armstrong,The Reckoning
deb caletti,Stay
frank herbert,Children of Dune
david arnold,Mosquitoland
naylor gloria,Linden Hills
ellen hopkins,Traffick
richard llewellyn,How Green Was My Valley
rocha lucas,Where We Go From Here
chevy stevens,Still Missing
madison bennett,September Girls
l. harrison,The Pretty Committee Strikes Back
jodie patterson,Born Ready: The True Story of a Boy Named Penelope
houck colleen,Recreated
ibram x. kendi,How to Be an Antiracist
ludlum robert,The Bourne Supremacy
jennifer l. armentrout,Shadows
kurt vonnegut,Slaughterhouse-Five: The Graphic Novel
j.p. ahonen,Sing No Evil
marr melissa,Fragile Eternity
alex london,City of Speed
joy mccullough,Blood Water Paint
francesca lia block,Pretty Dead
geoff tibbals,Ripley's Believe It or Not!: Seeing Is Believing
cyndy drew etler,We Can't Be Friends: A True Story
orson scott card,Xenocide
ward j.r.,Dark Lover
alan moore,Watchmen
ray stoeve,Arden Grey
rick yancey,The Infinite Sea
chuck palahniuk,Snuff
chris crutcher,Running Loose
james patterson,London Bridges
daria snadowsky,Anatomy of a Boyfriend
martyn bedford,Flip
dowd siobhan,Bog Child
heather demetrios,I'll Meet You There
lauren mclaughlin,Send Pics
james dashner,The Scorch Trials
laura sebastian,Ash Princess
katherine sturtevant,The Brothers Story
echols jennifer,Biggest Flirts
larry mcmurty,Comanche Moon
scott westerfeld,Blue Noon
leno katrina,You Must Not Miss
chase paula,So Done
oliver lauren,Requiem
adams douglas,The Hitchhiker's Guide to the Galaxy
ribay randy,Patron Saints of Nothing
shaun david hutchinson,Brave Face: A Memoir
lauren myracle,Rhymes with Witches
jodi lynn anderson,The Vanishing Season
bloom harold,Khaled Hosseini's The Kite Runner
philip k. dick,Blade Runner (do Androids Dream of Electric Sheep)
meehl brian,Suck It Up
ellen hopkins,A Sin Such As This
becky albertalli,The Upside of Unrequited
drew magary,The Hike
deb caletti,A Heart in a Body in the World
raymond chandler,Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell My Lovely / The High Window
l.b. tillit,2 Days
margaret peterson haddix,Sent
brian herbert,Dune: House Harkonnen
jodi picoult,Vanishing Acts
geoff edgers,Who Was Elvis Presley?
jim butcher,Grave Peril
john marsden,The Night Is For Hunting
louise o'neill,Asking for It
kacen callender,Felix Ever After
fox elaine,Special of the Day
conor grennan,Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal
barter catherine,Troublemakers
baldwin rosecrans,The Last Kid Left
robert cormier,The Rag and Bone Shop
kate elizabeth russell,My Dark Vanessa
jennifer l. armentrout,Don't Look Back
john green,Paper Towns
maguire gregory,Son of a Witch
grace hannah,Icebreaker
griffin bethany,Handcuffs
abbi glines,Until Friday Night
hobb robin,Royal Assassin
vincent bugliosi,Helter Skelter: The True Story of the Manson Murders
v. c. andrews,Petals on the Wind
rowell rainbow,Carry On
haruki murakami,1Q84
yoon helen,I'm a Unicorn
king stephen,The Drawing of the Three
lore pittacus,The Rise of Nine
tana french,The Likeness
sharon m. draper,Copper Sun
sharon m. draper,Forged By Fire
elizabeth holleville,Summer Spirit
margaret peterson haddix,Caught
jordan robert,Winter's Heart
yang kelly,Room to Dream
jim benton,Dumbness is a Dish Best Served Cold
alice sebold,The Lovely Bones
ibi zoboi,American Street
rowell rainbow,Wayward Son
kody keplinger,The DUFF: Designated Ugly Fat Friend
shaun david hutchinson,The Past and Other Things That Should Stay Buried
meyer stephenie,New Moon
dennis brindell fradin,Who Was Thomas Jefferson?
v. e. schwab,The Invisible Life of Addie LaRue
ryan darlene,Rules for Life
jessop carolyn,Escape
anne pearson,Ancient Greece
cathy g. johnson,The Breakaways
janet b. pascal,Who Was Dr. Seuss?
mike lupica,Bump and Run
blythe carolita,Revenge of a Not-So-Pretty Girl
young suzanne,The Program
ellen hopkins,Burned (EH)
iturbe antonio,The Librarian of Auschwitz: The Graphic Novel
tessa gratton,Strange Grace
murphy louise,The True Story of Hansel and Gretel: A Novel of War and Survival
lauren myracle,This Boy
mary h.k. choi,Emergency Contact
sara farizan,If You Could Be Mine
cormac mccarthy,All the Pretty Horses
megan mccafferty,Sloppy Firsts
l. kris gowen,Making Sexual Decisions: The Ultimate Teen Guide
brown sandra,White Hot
p. c. cast,Revealed (PCC)
john green,An Abundance of Katherines
neil gaiman,Anansi Boys
emily arsenault,All the Pretty Things
molly knox ostertag,The Witch Boy
maulik pancholy,The Best at It
aminah mae safi,Tell Me How You Really Feel
l.d. lapinski,Strangeworlds Travel Agency
tom leveen,Party
gary larson,There's a Hair In My Dirt: A Worm's Story
tony allan,Tales of Mystery and Imagination
hoover colleen,This Girl
king stephen,The Tommyknockers
jamie mcguire,Beautiful Disaster
michael connelly,Chasing The Dime
john green,Turtles All the Way Down
shaun david hutchinson,We Are the Ants
yang kelly,Three Keys
deb caletti,The Epic Story of Every Living Thing
lauren weisberger,Chasing Harry Winston
agell charlotte,The Accidental Adventures of India McAllister
alane ferguson,The Christopher Killer
david mitchell,Cloud Atlas
camryn garrett,Friday I'm in Love
jonathan safran foer,Extremely Loud and Incredibly Close
elston ashley,This Is Our Story
b. a. hoena,Everything Mythology
maya angelou,The Heart of a Woman
